,S1,S2,S3,S4,S5,S6,S7,S8
0,1789,1780,1958,2165,1808,1613,1676,1781
1,1609,1731,1851,1970,1869,1635,1758,1984
2,1609,1731,1851,1970,1869,1635,1758,1984
3,1609,1731,1851,1970,1869,1635,1758,1984
4,1609,1731,1851,1970,1869,1635,1758,1984
5,1609,1731,1851,1970,1869,1635,1758,1984
6,1726,1887,2075,2216,2232,1944,2008,2250
7,1726,1887,2075,2216,2232,1944,2008,2250
8,1726,1887,2075,2216,2232,1944,2008,2250
9,1726,1887,2075,2216,2232,1944,2008,2250
10,1726,1887,2075,2216,2232,1944,2008,2250
11,1726,1887,2075,2216,2232,1944,2008,2250
12,1955,2048,2363,2598,2405,2175,2091,2205
13,1955,2048,2363,2598,2405,2175,2091,2205
14,1955,2048,2363,2598,2405,2175,2091,2205
15,1955,2048,2363,2598,2405,2175,2091,2205
16,1955,2048,2363,2598,2405,2175,2091,2205
17,1903,1879,2202,2475,2183,1983,1872,1906
18,1903,1879,2202,2475,2183,1983,1872,1906
19,1903,1879,2202,2475,2183,1983,1872,1906
20,1903,1879,2202,2475,2183,1983,1872,1906
21,1903,1879,2202,2475,2183,1983,1872,1906
22,1903,1879,2202,2475,2183,1983,1872,1906
23,1701,1699,1939,2179,1866,1685,1700,1778
24,1701,1699,1939,2179,1866,1685,1700,1778
25,1701,1699,1939,2179,1866,1685,1700,1778
26,1701,1699,1939,2179,1866,1685,1700,1778
27,1701,1699,1939,2179,1866,1685,1700,1778
28,1661,1755,1912,2100,1834,1627,1735,1886
29,1661,1755,1912,2100,1834,1627,1735,1886
30,1661,1755,1912,2100,1834,1627,1735,1886
31,1661,1755,1912,2100,1834,1627,1735,1886
32,1661,1755,1912,2100,1834,1627,1735,1886
33,1661,1755,1912,2100,1834,1627,1735,1886
34,1833,1982,2131,2311,2019,1788,1911,2118
35,1833,1982,2131,2311,2019,1788,1911,2118
36,1833,1982,2131,2311,2019,1788,1911,2118
37,1833,1982,2131,2311,2019,1788,1911,2118
38,1833,1982,2131,2311,2019,1788,1911,2118
39,1962,2068,2284,2472,2248,2010,2004,2155
40,1962,2068,2284,2472,2248,2010,2004,2155
41,1962,2068,2284,2472,2248,2010,2004,2155
42,1962,2068,2284,2472,2248,2010,2004,2155
43,1962,2068,2284,2472,2248,2010,2004,2155
44,1962,2068,2284,2472,2248,2010,2004,2155
45,1898,1902,2201,2437,2250,2031,1938,2026
46,1898,1902,2201,2437,2250,2031,1938,2026
47,1898,1902,2201,2437,2250,2031,1938,2026
48,1898,1902,2201,2437,2250,2031,1938,2026
49,1898,1902,2201,2437,2250,2031,1938,2026
50,1707,1707,1993,2225,2060,1858,1806,1882
51,1707,1707,1993,2225,2060,1858,1806,1882
52,1707,1707,1993,2225,2060,1858,1806,1882
53,1707,1707,1993,2225,2060,1858,1806,1882
54,1707,1707,1993,2225,2060,1858,1806,1882
55,1707,1707,1993,2225,2060,1858,1806,1882
56,1619,1683,1892,2080,1930,1708,1755,1885
57,1619,1683,1892,2080,1930,1708,1755,1885
58,1619,1683,1892,2080,1930,1708,1755,1885
59,1619,1683,1892,2080,1930,1708,1755,1885
60,1619,1683,1892,2080,1930,1708,1755,1885
61,1713,1852,2022,2213,1944,1722,1834,2011
62,1713,1852,2022,2213,1944,1722,1834,2011
63,1713,1852,2022,2213,1944,1722,1834,2011
64,1713,1852,2022,2213,1944,1722,1834,2011
65,1713,1852,2022,2213,1944,1722,1834,2011
66,1713,1852,2022,2213,1944,1722,1834,2011
67,1980,2108,2287,2508,2112,1898,1966,2116
68,1980,2108,2287,2508,2112,1898,1966,2116
69,1980,2108,2287,2508,2112,1898,1966,2116
70,1980,2108,2287,2508,2112,1898,1966,2116
71,1980,2108,2287,2508,2112,1898,1966,2116
72,2073,2090,2345,2603,2149,1953,1927,2018
73,2073,2090,2345,2603,2149,1953,1927,2018
74,2073,2090,2345,2603,2149,1953,1927,2018
75,2073,2090,2345,2603,2149,1953,1927,2018
76,2073,2090,2345,2603,2149,1953,1927,2018
77,2073,2090,2345,2603,2149,1953,1927,2018
78,1801,1782,2038,2244,2062,1853,1796,1880
79,1801,1782,2038,2244,2062,1853,1796,1880
80,1801,1782,2038,2244,2062,1853,1796,1880
81,1801,1782,2038,2244,2062,1853,1796,1880
82,1801,1782,2038,2244,2062,1853,1796,1880
83,1559,1609,1838,2015,1992,1768,1775,1913
84,1559,1609,1838,2015,1992,1768,1775,1913
85,1559,1609,1838,2015,1992,1768,1775,1913
86,1559,1609,1838,2015,1992,1768,1775,1913
87,1559,1609,1838,2015,1992,1768,1775,1913
88,1559,1609,1838,2015,1992,1768,1775,1913
89,1611,1739,1962,2151,2092,1848,1910,2088
90,1611,1739,1962,2151,2092,1848,1910,2088
91,1611,1739,1962,2151,2092,1848,1910,2088
92,1611,1739,1962,2151,2092,1848,1910,2088
93,1611,1739,1962,2151,2092,1848,1910,2088
94,1923,2069,2284,2504,2147,1915,1978,2134
95,1923,2069,2284,2504,2147,1915,1978,2134
96,1923,2069,2284,2504,2147,1915,1978,2134
97,1923,2069,2284,2504,2147,1915,1978,2134
98,1923,2069,2284,2504,2147,1915,1978,2134
99,1923,2069,2284,2504,2147,1915,1978,2134
100,2065,2111,2324,2559,2054,1848,1866,1960
