,index,time,Right Leg Pos,Left Leg Pos,Commanded Right Leg Pos,Commanded Left Leg Pos,DCR,DCL,GyroX,GyroY,GyroZ,AX,AY,AZ,RBEMF,LBEMF,VBatt,S1,S2,S3,S4,S5,S6,S7,S8,PowerR,PowerL,Energy,TorqueR,TorqueL,VMotorR,VMotorL,AngleZ,Fx,Fy,Fz,Mx,My,Mz,F_mag,A_mag,M_mag,Gyro_mag
0,2018,2.024028,2.53260264814,4.98658838332,50.2907935376,50.2907935376,1011,1436,2.34038596596,-0.68709556124,0.978978016713,1.03121139135,0.00246977142311,0.00246977142311,0.4644921875,0.63615234375,3.88566308244,1182,1260,1047,1190,1414,1269,1468,1690,0.994299400528,1.34141657933,5.64252304407,0.360803838367,0.342700199241,3928.40537634,5579.81218638,0.412816600573,-0.155646083223,0.0617441562271,0.00690994095706,-4.94628044655,-2.90537874678,-4.75886328359,0.167588159889,1.03121730648,7.45343515905,2.62828931763
1,2019,2.025029,2.55906381694,5.01803498972,50.3161042208,50.3161042208,886,1535,1.98352237989,-1.05461179167,0.987500132201,0.924467674557,0.00221411813656,0.00221411813656,0.47458984375,0.61595703125,3.88566308244,1182,1260,1047,1190,1414,1269,1468,1690,0.868792412448,1.44280734372,5.64483695543,0.315260812778,0.302195266743,3442.69749104,5964.49283154,0.413804100705,-0.148423602368,0.0586816836479,0.00540800572627,-4.80200320687,-2.72148912351,-4.51271501149,0.159694559274,0.924472977398,7.12953958003,2.45392004225
2,2020,2.02603,2.59242789934,5.05216606252,50.341414904,50.341414904,434,1357,1.68098728006,-1.32518895842,0.957672727992,0.814030108086,0.00194961800788,0.00194961800788,0.61595703125,0.67654296875,3.89008363202,1182,1260,1047,1190,1414,1269,1468,1690,0.408950033564,1.25501436774,5.6465025838,0.14822805931,0.145485179442,1688.2962963,5278.84348865,0.414761773433,-0.141241725916,0.0554145130112,0.00377426492994,-4.64682649559,-2.54621849573,-4.26381585092,0.151770347788,0.814034777446,6.80120215246,2.34499063222
3,2021,2.027031,2.63001042894,5.08744762092,50.3667255872,50.3667255872,156,1280,1.40401852669,-1.72040206419,1.07059075821,0.699982029264,0.0016764706316,0.0016764706316,0.5856640625,0.6260546875,3.91218637993,1219,1267,1015,1171,1208,1088,1340,1616,0.150196803033,1.21742042138,5.64787156864,0.0541327717316,0.0534754917633,610.301075269,5007.59856631,0.415832364192,-0.134120658271,0.0519692409696,0.00201898663254,-4.4817914147,-2.37989454591,-4.01367898199,0.143851413928,0.699986044432,6.46992823029,2.46520097707
4,2022,2.028032,2.67602985294,5.11697675132,50.3920362704,50.3920362704,-400,1654,1.01306647867,-1.75662105502,1.26553415001,0.582424283237,0.00139491753382,0.00139491753382,0.61595703125,0.73712890625,3.91660692951,1219,1267,1015,1171,1208,1088,1340,1616,0.382556470863,1.52379811779,5.64977982958,-0.137722430059,-0.132666430303,-1566.6427718,6478.06786141,0.417097898342,-0.127080578094,0.048376001473,0.000154337446807,-4.30808962315,-2.22274275965,-3.76386048057,0.135976963738,0.582427624082,6.13733389134,2.39031334891
5,2023,2.029033,2.70555898334,5.15034083372,50.4173469536,50.4173469536,674,1402,0.705205056653,-2.32121120611,1.65435566916,0.461503444954,0.00110530976439,0.00110530976439,0.61595703125,0.605859375,3.90334528076,1219,1267,1015,1171,1208,1088,1340,1616,0.639843815858,1.33503927854,5.65175668756,0.231129893839,0.231839840471,2630.85471924,5472.49008363,0.418752254011,-0.12014145705,0.0446660899445,-0.00180651383849,-4.12694186671,-2.07486195728,-3.51583865502,0.128188504888,0.461506092184,5.8049825806,2.93636311028
6,2024,2.030034,2.73470461854,5.18408841132,50.4426576368,50.4426576368,698,1375,0.684965032368,-2.82188549105,1.84077694546,0.337420531495,0.000808128763166,0.000808128763166,0.71693359375,0.69673828125,3.90334528076,1219,1267,1015,1171,1208,1088,1340,1616,0.642274072614,1.27324364205,5.65367412079,0.232007772115,0.233478225377,2724.53500597,5367.09976105,0.420593030956,-0.113322893511,0.0408704540854,-0.00384999139285,-3.93952453378,-1.93621624992,-3.27094460982,0.120529227346,0.337422466973,5.47429132941,3.4381207924
7,2025,2.031035,2.77113666254,5.21975346492,50.46796832,50.46796832,220,1247,0.833036788977,-2.91775929029,1.70229256878,0.21040212415,0.000503917196748,0.000503917196748,0.61595703125,0.8280078125,3.90776583035,1219,1267,1015,1171,1208,1088,1340,1616,0.209368781659,1.11029322883,5.65499510246,0.0755444402136,0.0706780404486,859.708482676,4872.98399044,0.422295323525,-0.106643959956,0.0370192068757,-0.00596235310046,-3.7469531576,-1.80664679561,-3.030353636,0.11304382127,0.210403331038,5.14652054971,3.47923404754
8,2026,2.032036,2.80219977374,5.25503502332,50.4932790032,50.4932790032,569,1269,0.977912752277,-3.2256207123,1.6703346357,0.0806692211128,0.000193204360128,0.000193204360128,0.72703125,0.8280078125,3.92986857826,1093,1188,943,1029,1428,1269,1586,2015,0.529847984985,1.14442690909,5.65667105163,0.190104489235,0.184111022857,2236.09522103,4987.00322581,0.423965658161,-0.100123014687,0.0331409216067,-0.00812997791718,-3.55026014832,-1.68590339486,-2.7950788647,0.1057782364,0.0806696838397,4.82276717637,3.76177619296
9,2027,2.033037,2.83518036094,5.28839910572,50.5185896864,50.5185896864,442,1392,1.08763498919,-3.40991145974,1.6437030248,-0.0515549546309,-0.000123475123282,-0.000123475123282,0.605859375,0.6664453125,3.92986857826,1093,1188,943,1029,1428,1269,1586,2015,0.427158080329,1.32073832365,5.65842069593,0.15326031425,0.150466874385,1737.00191159,5470.37706093,0.425609361185,-0.0937773844372,0.0292603745867,-0.010340113365,-3.35030519027,-1.57371586681,-2.56591728438,0.0987789719385,0.0515552503554,4.50389364968,3.93855375318
10,2028,2.034038,2.86777745294,5.32253017852,50.5439003696,50.5439003696,465,1340,1.04608967618,-2.99019727194,1.57233030758,-0.186011445012,-0.000445501043847,-0.000445501043847,0.65634765625,0.65634765625,3.91660692951,1093,1188,943,1029,1428,1269,1586,2015,0.439279758424,1.26588145438,5.66012756231,0.158143125038,0.158143125038,1821.22222222,5248.25328554,0.427181691493,-0.0876229927485,0.025395553689,-0.0125818380947,-3.14765340145,-1.46988385171,-2.3433727379,0.0920924842493,0.186012511992,4.19042673983,3.53663765912
11,2029,2.035039,2.90190852574,5.35742824172,50.5692110528,50.5692110528,363,1288,1.23038042362,-2.631203157,1.37632165135,-0.322382365172,-0.000772112061124,-0.000772112061124,0.64625,0.8078125,3.92102747909,1093,1188,943,1029,1428,1269,1586,2015,0.344837444623,1.16319083718,5.66163709862,0.124003414797,0.117885655092,1423.33297491,5050.28339307,0.428558013144,-0.0816741518058,0.0215562992415,-0.0148465303919,-2.94252267671,-1.37432320427,-2.12762701399,0.0857657307721,0.32238421439,3.88252503963,3.21423821896
