,index,time,Right Leg Pos,Left Leg Pos,Commanded Right Leg Pos,Commanded Left Leg Pos,DCR,DCL,GyroX,GyroY,GyroZ,AX,AY,AZ,RBEMF,LBEMF,VBatt,S1,S2,S3,S4,S5,S6,S7,S8,PowerR,PowerL,Energy,TorqueR,TorqueL,VMotorR,VMotorL,AngleZ,Fx,Fy,Fz,Mx,My,Mz,F_mag,A_mag,M_mag,Gyro_mag
0,8033,8.045164,5.05485171981,0.116200583833,201.112552784,201.112552784,2650,2058,2.80377599564,-0.419714187796,0.233292911491,0.0160124241549,3.83500685479e-05,3.83500685479e-05,0.040390625,0.23224609375,3.58064516129,1196,1186,1032,1289,1428,1416,1576,1702,2.48523670388,1.82545015949,23.734983705,0.978645912853,0.92561058208,9488.70967742,7368.96774194,3.13677552781,-0.0550477853054,0.180118729783,-0.0618872069815,-12.0215612304,0.937358897354,-12.9064441941,0.198249947979,0.0160125160038,17.6627539714,2.84459934186
1,8034,8.046165,5.06750706141,0.133841363033,201.137863467,201.137863467,2753,2085,2.7377296006,-0.532632218016,0.256728729084,-0.0324992460148,-7.78363290031e-05,-7.78363290031e-05,-0.1009765625,0.29283203125,3.57622461171,1196,1186,1032,1289,1428,1416,1576,1702,2.67839423391,1.81125572677,23.7394778446,1.05601193433,0.942918699792,9845.34635603,7456.42831541,3.13703225654,-0.0509014018793,0.182058908681,-0.0660468120086,-12.2935047107,1.15052738038,-12.7651910807,0.200246299142,0.0324994324338,17.7596192147,2.80085167155
2,8035,8.047166,5.08207987901,0.154933599033,201.16317415,201.16317415,2631,1861,2.66635688339,-0.572047002149,0.203465507282,-0.0682183278308,-0.000163384227592,-0.000163384227592,-0.24234375,0.3029296875,3.56738351254,1217,1209,1064,1334,1478,1453,1612,1750,2.64539572136,1.60336653936,23.7437308557,1.04558647928,0.895935206506,9385.78602151,6638.90071685,3.13723572205,-0.0466562368367,0.183620685476,-0.0702708734399,-12.5453030446,1.37203995689,-12.6085401838,0.202067702081,0.0682187191381,17.8393499795,2.73461057829
3,8036,8.048167,5.09396823021,0.176025835033,201.188484834,201.188484834,2810,1862,2.53426409332,-0.595482819742,0.352602528326,-0.0909067223304,-0.000217723375552,-0.000217723375552,0.0,0.363515625,3.5541218638,1217,1209,1064,1334,1478,1453,1612,1750,2.62601414875,1.5621089249,23.7479231669,1.04179881603,0.935243621179,9987.08243728,6617.77491039,3.13758832457,-0.0423199162906,0.184772340862,-0.0745533282631,-12.7754131971,1.60058784767,-12.4363844536,0.203690922767,0.0909072437806,17.9007464116,2.62705592371
4,8037,8.049168,5.10739056221,0.193666614233,201.213795517,201.213795517,2713,2089,2.36488704799,-0.766990393943,0.583764910945,-0.100406851933,-0.0002404763715,-0.0002404763715,-0.282734375,0.363515625,3.58948626045,1217,1209,1064,1334,1478,1453,1612,1750,2.78976933525,1.78960530025,23.7525071209,1.09586009732,0.912967732816,9738.27622461,7498.43679809,3.13817208949,-0.0379012558571,0.185486717869,-0.0788878504689,-12.982505856,1.83478949788,-12.24865247,0.205097831907,0.100407427877,17.9427254935,2.5537710323
5,8038,8.050169,5.12157988461,0.212074383833,201.2391062,201.2391062,2665,2041,2.25409954664,-0.858603135442,0.715857701013,-0.0966270211426,-0.000231423602933,-0.000231423602933,-0.24234375,0.3029296875,3.56738351254,1217,1209,1064,1334,1478,1453,1612,1750,2.67958175501,1.75844766622,23.7569495883,1.05909842922,0.907513236541,9507.07706093,7281.0297491,3.13888794719,-0.0334101561685,0.185741512222,-0.083268103623,-13.1654756056,2.07320742416,-12.0453173411,0.206275846814,0.0966275754051,17.9643426485,2.51607161235
6,8039,8.05117,5.13385173101,0.227414191833,201.264416883,201.264416883,2794,2243,2.18698788717,-0.929975852656,0.704139792217,-0.0795483873861,-0.00019051994152,-0.00019051994152,-0.13126953125,0.1817578125,3.53643966547,1217,1209,1064,1334,1478,1453,1612,1750,2.68110400416,1.96867024906,23.7616040123,1.06897247047,0.977739061542,9880.81242533,7932.23416965,3.13959208698,-0.0288574430151,0.185519174209,-0.0876877868475,-13.3234358628,2.31436717067,-11.8264027216,0.207217914233,0.0795488436838,17.9648000246,2.47862541586
7,8040,8.052171,5.14689056781,0.247355942233,201.289727566,201.289727566,2747,1945,2.16674786289,-0.901213712883,0.73822825417,-0.0492404481866,-0.000117931835185,-0.000117931835185,-0.23224609375,0.282734375,3.56738351254,1217,1209,1064,1334,1478,1453,1612,1750,2.75470968151,1.68610456475,23.7660492674,1.08879256667,0.941223733796,9799.60250896,6938.5609319,3.14033031523,-0.0242546972768,0.18480668307,-0.0921406193467,-13.45570881,2.55677573137,-11.591987105,0.207922327279,0.0492407306348,17.9434491323,2.4600738633
8,8041,8.053172,5.16069639501,0.266147207033,201.31503825,201.31503825,2700,2021,2.10283199673,-0.626375488387,0.835167317849,-0.00586887087129,-1.40560604143e-05,-1.40560604143e-05,-0.2221484375,0.33322265625,3.53643966547,1232,1225,1071,1295,1514,1455,1628,1797,2.6550998864,1.6937333566,23.7704024495,1.05860447059,0.902184478139,9548.38709677,7147.14456392,3.14116548255,-0.0196141358461,0.183595253175,-0.0966203043425,-13.5618118676,2.79893729494,-11.3422145634,0.208392453137,0.00586890453574,17.8997939183,2.34771231366
9,8042,8.054173,5.17258474621,0.285321967033,201.340348933,201.340348933,2828,1998,2.09750567455,-0.381364668099,0.869255779802,0.0503104926321,0.000120494612429,0.000120494612429,-0.03029296875,0.33322265625,3.57180406213,1232,1225,1071,1295,1514,1455,1628,1797,2.6918357181,1.70987373384,23.7748085606,1.06262501988,0.955387265056,10101.0618877,7136.46451613,3.14203473833,-0.0149486175847,0.181879859426,-0.101120424315,-13.6414348531,3.03936461906,-11.0773259559,0.208636249597,0.0503107812182,17.8334974829,2.30229769481
10,8043,8.055174,5.18524008781,0.306030707833,201.365659616,201.365659616,2781,1899,2.10709305447,-0.148071756608,0.868190515366,0.118964063989,0.00028492125672,0.00028492125672,-0.23224609375,0.27263671875,3.55854241338,1232,1225,1071,1295,1514,1455,1628,1797,2.77542056994,1.6427758825,23.7792311753,1.09970390936,0.953237916433,9896.30645161,6757.67204301,3.14290292885,-0.0102717143124,0.179658674949,-0.105634305268,-13.6944126347,3.27658753958,-10.7976994828,0.208665651339,0.118964746379,17.7443872093,2.2837515531
11,8044,8.056176,5.19521096301,0.324821972633,201.390970299,201.390970299,2960,2026,2.11774569883,-0.0276968753368,0.793622004844,0.19968920836,0.000478259554152,0.000478259554152,-0.19185546875,0.35341796875,3.54528076464,1232,1225,1071,1295,1514,1455,1628,1797,2.90139853523,1.69613494624,23.7838379038,1.15392043854,0.98555564667,10494.0310633,7182.73882915,3.14369655085,-0.00559767377676,0.176932687613,-0.110154960112,-13.7207070803,3.50916281844,-10.5038682541,0.208496103405,0.199690353798,17.6324494829,2.26173602536
12,8045,8.057176,5.20249737181,0.345147218233,201.416280982,201.416280982,3140,1927,2.1198762277,0.0234358175927,0.765925129507,0.292019957684,0.000699393502118,0.000699393502118,-0.47458984375,0.23224609375,3.5541218638,1232,1225,1071,1295,1514,1455,1628,1797,3.32624523697,1.68315274038,23.7888473018,1.31959622204,1.08807356655,11159.9426523,6848.79283154,3.14446247598,-0.000941250379234,0.173705533344,-0.114675126036,-13.7204002564,3.73568597844,-10.1965104556,0.208146301428,0.29202163274,17.4978158179,2.2541219493
13,8046,8.058177,5.21246824701,0.360487026233,201.441591666,201.441591666,2969,2254,2.03039401508,0.156593872097,0.751011427402,0.395434018803,0.000947072198303,0.000947072198303,-1.090546875,0.201953125,3.51875746714,1167,1151,1014,1227,1488,1428,1568,1716,3.56255049054,1.94620780981,23.7943615689,1.42754828617,1.02724793216,10447.19092,7931.27933094,3.14521348741,0.00368246205407,0.16998345858,-0.119187241083,-13.6936947995,3.95480248538,-9.87643814548,0.207637990635,0.395436287053,17.3407546088,2.17049295353
14,8047,8.059178,5.21975465581,0.373909358233,201.466902349,201.466902349,3148,2382,1.89617069614,0.323840388554,0.67644291688,0.509357214146,0.00121992047621,0.00121992047621,-0.525078125,0.1009765625,3.50107526882,1167,1151,1014,1227,1488,1428,1568,1716,3.28286180204,2.09778435388,23.7997475957,1.32211814528,1.11653276854,11021.3849462,8339.56129032,3.14588993032,0.00825809002192,0.165775466852,-0.123683166612,-13.6409251781,4.16521674207,-9.54460589208,0.206995717743,0.509360135871,17.1616832466,2.03909561471
15,8048,8.060179,5.22780805501,0.389632661433,201.492213032,201.492213032,3103,2235,1.79070951697,0.431432096593,0.537958540196,0.633160800616,0.00151643248385,0.00151643248385,-0.87849609375,0.07068359375,3.49665471924,1167,1151,1014,1227,1488,1428,1568,1716,3.51199319083,1.98079753804,23.8052458792,1.41618512455,1.10894676605,10850.1195938,7815.02329749,3.14642788886,0.012769980403,0.161093549192,-0.128153786563,-13.5625739283,4.36569936249,-9.20212936131,0.206246447245,0.633164432491,16.9611888518,1.91889906433
16,8049,8.06118,5.23931291101,0.407273440633,201.517523715,201.517523715,2881,2112,1.73957682404,0.367516230431,0.409061543436,0.766154581008,0.00183495518542,0.00183495518542,-0.767421875,0.1817578125,3.46571087216,1167,1151,1014,1227,1488,1428,1568,1716,3.12696908051,1.77831747227,23.810156071,1.27218529362,0.986927894065,9984.7130227,7319.58136201,3.14683695041,0.0172022776398,0.155952705475,-0.132588862158,-13.4592756215,4.55509392438,-8.8502852625,0.205419013407,0.766158975749,16.7400277821,1.82442512937
17,8050,8.062181,5.24928378621,0.421846258233,201.542834398,201.542834398,2985,2315,1.65222514029,0.25246767134,0.308926686449,0.907581569071,0.00217367558408,0.00217367558408,-0.33322265625,0.15146484375,3.48781362007,1167,1151,1014,1227,1488,1428,1568,1716,2.94309904463,1.99297486523,23.815097081,1.18979111414,1.03886952143,10411.1236559,8074.28853047,3.14714587709,0.0215390976287,0.150370717231,-0.136977194525,-13.3318062269,4.73232343323,-8.49048867831,0.204543484734,0.907586775052,16.4991011981,1.6997127807
