time,Right Leg Pos,Left Leg Pos,Commanded Right Leg Pos,Commanded Left Leg Pos,DCR,DCL,GyroX,GyroY,GyroZ,AX,AY,AZ,RBEMF,LBEMF,VBatt,S1,S2,S3,S4,S5,S6,S7,S8
862,29532,-17172,0,0,-696,394,-6,-25,-6,-10,79,-4277,-7,6,923,1777,1815,1457,1732,1860,1752,2152,2472
1863,29528,-17180,0,0,-696,469,-4,-27,-8,-17,70,-4278,-2,-3,923,1777,1815,1457,1732,1860,1752,2152,2472
2864,29524,-17172,0,0,-696,369,-3,-30,-7,-13,71,-4273,0,-6,923,1777,1815,1457,1732,1860,1752,2152,2472
3865,29528,-17180,0,0,-746,469,-4,-31,-5,-3,66,-4298,7,5,923,1777,1815,1457,1732,1860,1752,2152,2472
4866,29532,-17176,0,0,-746,394,-6,-28,-1,26,77,-4310,3,0,923,1783,1820,1463,1737,1862,1755,2155,2475
5867,29536,-17176,0,0,-747,419,-4,-28,-3,17,89,-4267,0,1,923,1783,1820,1463,1737,1862,1755,2155,2475
6868,29532,-17180,0,0,-696,444,-4,-27,-3,2,87,-4310,-5,-4,923,1783,1820,1463,1737,1862,1755,2155,2475
7869,29524,-17176,0,0,-671,394,-4,-26,-3,9,83,-4342,-8,5,923,1783,1820,1463,1737,1862,1755,2155,2475
8870,29528,-17176,0,0,-746,419,-3,-27,-3,-20,76,-4306,-7,-5,923,1783,1820,1463,1737,1862,1755,2155,2475
9871,29532,-17172,0,0,-746,394,-5,-29,-4,-19,72,-4309,0,-9,923,1783,1820,1463,1737,1862,1755,2155,2475
10872,29524,-17180,0,0,-671,469,-6,-29,-2,-12,74,-4306,8,6,923,1786,1822,1465,1738,1863,1757,2158,2478
11873,29532,-17172,0,0,-771,369,-5,-28,1,-5,81,-4286,6,-6,923,1786,1822,1465,1738,1863,1757,2158,2478
12874,29536,-17176,0,0,-747,444,-2,-26,1,-37,99,-4311,0,-4,923,1786,1822,1465,1738,1863,1757,2158,2478
13875,29528,-17168,0,0,-671,369,-3,-26,0,-16,90,-4319,-8,3,923,1786,1822,1465,1738,1863,1757,2158,2478
14876,29540,-17176,0,0,-797,469,-2,-28,0,-10,83,-4324,-3,3,923,1786,1822,1465,1738,1863,1757,2158,2478
15877,29536,-17188,0,0,-697,494,-3,-28,1,-1,94,-4342,6,-9,923,1786,1821,1464,1738,1863,1754,2155,2474
16878,29528,-17176,0,0,-671,344,-3,-27,1,-23,88,-4328,3,-4,923,1786,1821,1464,1738,1863,1754,2155,2474
17879,29536,-17184,0,0,-772,469,-4,-25,1,-20,62,-4292,-4,-7,923,1786,1821,1464,1738,1863,1754,2155,2474
18880,29532,-17180,0,0,-696,394,-4,-27,-1,9,69,-4328,-6,2,923,1786,1821,1464,1738,1863,1754,2155,2474
19881,29544,-17184,0,0,-797,444,-4,-29,1,19,97,-4283,-6,2,921,1786,1821,1464,1738,1863,1754,2155,2474
20882,29528,-17184,0,0,-621,419,-5,-30,0,17,90,-4281,-4,-8,923,1786,1821,1464,1738,1863,1754,2155,2474
21883,29532,-17188,0,0,-746,444,-4,-29,1,-6,91,-4294,-7,6,923,1782,1817,1460,1733,1858,1750,2147,2468
22884,29528,-17172,0,0,-696,319,-2,-28,2,4,84,-4251,-5,3,923,1782,1817,1460,1733,1858,1750,2147,2468
23885,29536,-17184,0,0,-772,494,-2,-26,0,-21,87,-4212,-7,-8,923,1782,1817,1460,1733,1858,1750,2147,2468
24886,29524,-17172,0,0,-646,344,-3,-26,-1,-11,95,-4236,-7,5,923,1782,1817,1460,1733,1858,1750,2147,2468
25887,29532,-17180,0,0,-771,469,-4,-26,-2,0,74,-4237,-5,-6,923,1782,1817,1460,1733,1858,1750,2147,2468
26888,29528,-17192,0,0,-696,494,-4,-26,-1,-1,80,-4252,-5,5,923,1774,1809,1455,1729,1852,1744,2140,2457
27889,29516,-17184,0,0,-646,369,-4,-25,0,-5,75,-4232,3,5,923,1774,1809,1455,1729,1852,1744,2140,2457
28890,29528,-17168,0,0,-796,319,-3,-26,-1,13,80,-4229,7,-4,923,1774,1809,1455,1729,1852,1744,2140,2457
29891,29524,-17180,0,0,-696,494,-2,-27,-1,29,81,-4217,6,5,923,1774,1809,1455,1729,1852,1744,2140,2457
30892,29528,-17180,0,0,-746,419,-4,-27,-1,13,72,-4229,3,-5,923,1774,1809,1455,1729,1852,1744,2140,2457
31893,29524,-17176,0,0,-696,394,-3,-27,-2,23,88,-4234,-4,-7,923,1774,1809,1455,1729,1852,1744,2140,2457
32894,29536,-17180,0,0,-797,444,-3,-26,-5,-8,86,-4196,-8,-5,923,1767,1805,1452,1722,1847,1738,2134,2452
33895,29528,-17176,0,0,-671,394,-2,-24,-5,9,78,-4200,-8,-8,923,1767,1805,1452,1722,1847,1738,2134,2452
34896,29532,-17184,0,0,-746,469,-3,-26,-2,6,69,-4200,-5,3,923,1767,1805,1452,1722,1847,1738,2134,2452
35897,29528,-17168,0,0,-696,319,-4,-27,-4,6,53,-4176,-4,4,923,1767,1805,1452,1722,1847,1738,2134,2452
36898,29524,-17188,0,0,-696,544,-4,-26,-4,11,59,-4172,-3,-9,921,1767,1805,1452,1722,1847,1738,2134,2452
37899,29528,-17176,0,0,-746,344,-1,-24,-3,-5,66,-4201,3,6,923,1764,1800,1448,1718,1843,1736,2129,2447
38900,29532,-17176,0,0,-746,419,-1,-24,-3,-2,67,-4190,7,-2,923,1764,1800,1448,1718,1843,1736,2129,2447
39901,29532,-17172,0,0,-721,394,-1,-24,-3,-5,64,-4202,6,6,923,1764,1800,1448,1718,1843,1736,2129,2447
40902,29524,-17176,0,0,-671,444,-3,-24,-3,18,88,-4230,-4,-8,923,1764,1800,1448,1718,1843,1736,2129,2447
41903,29536,-17184,0,0,-797,469,-3,-23,-5,27,89,-4222,-8,5,923,1764,1800,1448,1718,1843,1736,2129,2447
42904,29532,-17180,0,0,-696,394,-4,-24,-4,13,78,-4233,-8,-9,923,1764,1800,1448,1718,1843,1736,2129,2447
43905,29536,-17180,0,0,-747,419,-6,-24,-2,-2,77,-4219,-5,1,923,1764,1800,1449,1720,1844,1737,2131,2449
44906,29528,-17180,0,0,-671,419,-4,-26,-4,-5,103,-4197,-3,6,923,1764,1800,1449,1720,1844,1737,2131,2449
45907,29536,-17184,0,0,-772,444,-3,-26,-5,2,67,-4211,-2,-3,923,1764,1800,1449,1720,1844,1737,2131,2449
46908,29528,-17176,0,0,-671,369,-4,-23,-6,-10,68,-4186,7,-9,923,1764,1800,1449,1720,1844,1737,2131,2449
47909,29532,-17192,0,0,-746,519,-4,-23,-4,-7,86,-4212,8,3,923,1764,1800,1449,1720,1844,1737,2131,2449
48910,29524,-17180,0,0,-671,344,-4,-24,-5,-1,82,-4232,6,-2,923,1766,1803,1452,1725,1849,1742,2138,2456
49911,29528,-17184,0,0,-746,444,-3,-24,-6,-17,80,-4250,-7,-7,923,1766,1803,1452,1725,1849,1742,2138,2456
50912,29544,-17188,0,0,-822,444,-4,-28,-6,2,72,-4270,-8,-2,923,1766,1803,1452,1725,1849,1742,2138,2456
51913,29532,-17176,0,0,-646,344,-4,-26,-5,19,91,-4266,-8,-5,923,1766,1803,1452,1725,1849,1742,2138,2456
52914,29540,-17188,0,0,-772,494,-5,-23,-5,-16,93,-4237,-2,1,923,1766,1803,1452,1725,1849,1742,2138,2456
53915,29528,-17184,0,0,-646,394,-4,-23,-4,-38,97,-4253,-3,1,922,1766,1803,1452,1725,1849,1742,2138,2456
54916,29536,-17184,0,0,-772,419,-4,-25,-1,-17,81,-4292,-5,2,923,1773,1812,1458,1730,1853,1748,2145,2466
55917,29532,-17176,0,0,-696,369,-4,-26,-2,-2,91,-4301,2,6,923,1773,1812,1458,1730,1853,1748,2145,2466
56918,29524,-17176,0,0,-671,419,-2,-26,-4,-8,67,-4276,7,0,923,1773,1812,1458,1730,1853,1748,2145,2466
57919,29532,-17176,0,0,-771,419,-3,-29,-3,-6,81,-4265,8,4,923,1773,1812,1458,1730,1853,1748,2145,2466
58920,29524,-17176,0,0,-671,419,-6,-29,-3,-38,97,-4246,0,-4,923,1773,1812,1458,1730,1853,1748,2145,2466
59921,29532,-17184,0,0,-771,469,-8,-28,-3,8,75,-4304,-4,-8,923,1780,1817,1461,1735,1857,1751,2155,2478
60922,29528,-17180,0,0,-696,394,-3,-27,-1,2,79,-4313,-3,-6,923,1780,1817,1461,1735,1857,1751,2155,2478
61923,29524,-17184,0,0,-696,444,-1,-29,-2,3,62,-4300,-8,5,923,1780,1817,1461,1735,1857,1751,2155,2478
62924,29536,-17176,0,0,-797,369,-3,-29,-3,20,88,-4321,-6,0,923,1780,1817,1461,1735,1857,1751,2155,2478
63925,29528,-17176,0,0,-671,419,-5,-25,0,-4,61,-4317,-4,-7,923,1780,1817,1461,1735,1857,1751,2155,2478
64926,29528,-17172,0,0,-721,394,-4,-24,1,8,80,-4358,7,6,923,1780,1817,1461,1735,1857,1751,2155,2478
65927,29528,-17184,0,0,-721,494,-5,-25,0,7,94,-4360,5,1,923,1785,1821,1464,1740,1864,1758,2159,2479
66928,29528,-17180,0,0,-721,394,-4,-28,-1,-7,86,-4336,-1,-9,923,1785,1821,1464,1740,1864,1758,2159,2479
67929,29520,-17180,0,0,-671,419,-3,-28,-1,9,93,-4324,-8,-1,923,1785,1821,1464,1740,1864,1758,2159,2479
68930,29532,-17176,0,0,-796,394,-3,-29,1,-24,76,-4325,-7,-4,923,1785,1821,1464,1740,1864,1758,2159,2479
69931,29528,-17176,0,0,-696,419,-4,-27,1,-30,70,-4295,-2,-7,923,1785,1821,1464,1740,1864,1758,2159,2479
70932,29520,-17180,0,0,-671,444,-4,-27,0,-7,92,-4267,8,0,921,1788,1824,1466,1740,1864,1758,2158,2477
71933,29532,-17176,0,0,-796,394,-5,-26,-1,7,86,-4286,6,1,923,1788,1824,1466,1740,1864,1758,2158,2477
72934,29532,-17176,0,0,-721,419,-6,-26,-2,3,99,-4285,-8,-1,923,1788,1824,1466,1740,1864,1758,2158,2477
73935,29536,-17180,0,0,-747,444,-3,-27,-1,-15,95,-4286,-1,5,923,1788,1824,1466,1740,1864,1758,2158,2477
74936,29520,-17180,0,0,-621,419,-1,-28,0,-3,83,-4298,3,-1,923,1788,1824,1466,1740,1864,1758,2158,2477
75937,29536,-17180,0,0,-822,419,-1,-30,0,-8,83,-4314,6,-9,923,1788,1824,1466,1740,1864,1758,2158,2477
76938,29532,-17168,0,0,-696,344,-5,-30,1,22,89,-4301,3,4,923,1783,1822,1466,1740,1861,1753,2153,2473
77939,29532,-17180,0,0,-721,494,-4,-28,0,-18,101,-4274,-4,-8,923,1783,1822,1466,1740,1861,1753,2153,2473
78940,29524,-17184,0,0,-671,444,-4,-28,-2,-10,93,-4273,-8,-7,923,1783,1822,1466,1740,1861,1753,2153,2473
79941,29536,-17184,0,0,-797,419,-4,-31,-2,-11,78,-4268,-7,-5,923,1783,1822,1466,1740,1861,1753,2153,2473
80942,29524,-17180,0,0,-646,394,-2,-30,0,-8,81,-4266,0,0,923,1783,1822,1466,1740,1861,1753,2153,2473
81943,29536,-17176,0,0,-797,394,-3,-27,-2,-17,56,-4265,8,-8,923,1779,1815,1459,1733,1855,1747,2146,2464
82944,29528,-17168,0,0,-671,369,-4,-28,-3,2,85,-4234,8,5,923,1779,1815,1459,1733,1855,1747,2146,2464
83945,29536,-17180,0,0,-772,494,-5,-29,0,11,70,-4229,7,-9,923,1779,1815,1459,1733,1855,1747,2146,2464
84946,29528,-17188,0,0,-671,469,-6,-28,0,18,65,-4233,4,2,923,1779,1815,1459,1733,1855,1747,2146,2464
85947,29524,-17176,0,0,-696,344,-3,-27,-2,14,89,-4239,-4,-4,923,1779,1815,1459,1733,1855,1747,2146,2464
86948,29520,-17172,0,0,-696,394,-1,-28,-2,11,65,-4229,-7,6,923,1779,1815,1459,1733,1855,1747,2146,2464
87949,29520,-17184,0,0,-721,494,-3,-29,-3,-4,55,-4234,-8,1,921,1772,1808,1454,1725,1849,1740,2136,2452
88950,29524,-17180,0,0,-746,394,-5,-28,-1,-16,78,-4199,-7,6,923,1772,1808,1454,1725,1849,1740,2136,2452
89951,29532,-17184,0,0,-771,444,-4,-30,-2,-15,68,-4202,-2,-7,923,1772,1808,1454,1725,1849,1740,2136,2452
90952,29528,-17188,0,0,-696,444,-1,-27,-3,17,57,-4206,7,-9,923,1772,1808,1454,1725,1849,1740,2136,2452
91953,29536,-17172,0,0,-772,319,-1,-26,-2,-9,70,-4176,7,1,923,1772,1808,1454,1725,1849,1740,2136,2452
92954,29528,-17184,0,0,-671,494,-3,-28,-1,17,82,-4181,8,6,923,1767,1803,1450,1720,1844,1737,2131,2447
93955,29528,-17184,0,0,-721,419,-5,-27,-4,6,78,-4203,4,0,923,1767,1803,1450,1720,1844,1737,2131,2447
94956,29532,-17180,0,0,-746,394,-4,-27,-3,26,86,-4210,0,-8,923,1767,1803,1450,1720,1844,1737,2131,2447
95957,29524,-17168,0,0,-671,344,-3,-28,-1,4,95,-4213,0,-2,923,1767,1803,1450,1720,1844,1737,2131,2447
