time,Right Leg Pos,Left Leg Pos,Commanded Right Leg Pos,Commanded Left Leg Pos,DCR,DCL,GyroX,GyroY,GyroZ,AX,AY,AZ,RBEMF,LBEMF,VBatt,S1,S2,S3,S4,S5,S6,S7,S8
227,33980,-7344,9360,9360,-602,432,-489,-111,36,394,-60,3886,2,2,876,1038,1201,978,1344,1948,1352,1538,1449
1228,33976,-7352,9360,9360,-576,458,-490,-111,37,412,-38,3919,-7,4,877,1038,1200,978,1344,1947,1351,1537,1450
2229,33980,-7332,9360,9360,-627,282,-491,-112,37,427,-44,3936,0,-6,876,1038,1200,978,1344,1947,1351,1537,1450
3230,33968,-7352,9360,9360,-526,533,-492,-112,38,400,-41,3910,5,-9,876,1038,1200,978,1344,1947,1351,1537,1450
4231,33992,-7336,9360,9360,-752,307,-489,-112,39,392,-48,3891,-8,1,876,1038,1200,978,1344,1947,1351,1537,1450
5232,33972,-7340,9360,9360,-476,432,-488,-112,37,379,-35,3890,-4,6,876,1038,1200,978,1344,1947,1351,1537,1450
6233,33984,-7344,9360,9360,-677,432,-486,-111,37,403,-33,3900,6,3,876,1038,1200,978,1344,1947,1351,1537,1450
7234,33980,-7352,9360,9360,-577,458,-490,-109,39,406,-63,3881,3,-6,876,1038,1201,978,1344,1947,1351,1538,1450
8235,33972,-7344,9360,9360,-551,357,-490,-110,41,397,-72,3872,-6,-8,876,1038,1201,978,1344,1947,1351,1538,1450
9236,33980,-7340,9360,9360,-652,382,-490,-113,40,384,-68,3919,-4,-5,876,1038,1201,978,1344,1947,1351,1538,1450
10237,33972,-7344,9360,9360,-551,432,-489,-111,39,413,-43,3916,8,5,876,1038,1201,978,1344,1947,1351,1538,1450
11238,33980,-7348,9360,9360,-652,432,-490,-110,40,409,-28,3916,2,2,876,1038,1201,978,1344,1947,1351,1538,1450
12239,33984,-7344,9360,9360,-627,382,-489,-111,40,393,-50,3927,-8,-3,876,1038,1200,978,1344,1947,1351,1537,1447
13240,33976,-7344,9360,9360,-551,407,-489,-112,40,395,-41,3933,4,-8,876,1038,1200,978,1344,1947,1351,1537,1447
14241,33964,-7340,9360,9360,-526,382,-488,-112,39,412,-63,3934,7,1,876,1038,1200,978,1344,1947,1351,1537,1447
15242,33972,-7352,9360,9360,-651,483,-488,-111,37,413,-44,3933,-8,6,876,1038,1200,978,1344,1947,1351,1537,1447
16243,33972,-7336,9360,9360,-601,307,-490,-112,36,414,-57,3908,4,-6,876,1038,1200,978,1344,1947,1351,1537,1447
17244,33980,-7340,9360,9360,-652,432,-491,-109,37,407,-49,3920,7,-6,876,1038,1200,978,1344,1947,1351,1537,1447
18245,33972,-7348,9360,9360,-551,457,-489,-110,39,388,-39,3883,-6,1,876,1038,1201,979,1344,1947,1351,1537,1450
19246,33992,-7356,9360,9360,-727,458,-487,-114,39,402,-41,3895,-5,-6,873,1038,1201,979,1344,1947,1351,1537,1450
20247,33980,-7344,9360,9360,-527,332,-488,-116,39,404,-31,3927,8,-3,875,1038,1201,979,1344,1947,1351,1537,1450
21248,33992,-7348,9360,9360,-677,432,-489,-113,40,412,-48,3899,0,5,876,1038,1201,979,1344,1947,1351,1537,1450
22249,33976,-7356,9360,9360,-501,458,-490,-109,37,395,-34,3889,-8,-7,876,1038,1201,979,1344,1947,1351,1537,1450
23250,33980,-7356,9360,9360,-627,408,-489,-111,36,388,-57,3884,-3,0,876,1038,1201,977,1341,1943,1347,1535,1452
24251,33988,-7344,9360,9360,-652,332,-488,-113,36,412,-72,3903,6,6,877,1038,1201,977,1341,1943,1347,1535,1452
25252,33972,-7344,9360,9360,-501,407,-490,-114,34,428,-33,3905,-8,-5,876,1038,1201,977,1341,1943,1347,1535,1452
26253,33988,-7336,9360,9360,-702,357,-491,-114,35,420,-17,3895,-1,-7,876,1038,1201,977,1341,1943,1347,1535,1452
27254,33980,-7344,9360,9360,-552,457,-492,-114,36,397,-12,3920,8,2,876,1038,1201,977,1341,1943,1347,1535,1452
28255,33988,-7344,9360,9360,-652,407,-490,-113,37,396,-40,3927,-6,4,876,1038,1201,977,1341,1943,1347,1535,1452
29256,33972,-7348,9360,9360,-501,432,-489,-114,39,406,-63,3905,-9,-8,876,1038,1201,978,1344,1946,1350,1537,1449
30257,33984,-7332,9360,9360,-677,307,-487,-116,37,398,-60,3892,-4,-6,876,1038,1201,978,1344,1946,1350,1537,1449
31258,33980,-7352,9360,9360,-577,533,-488,-115,36,395,-62,3916,7,4,876,1038,1201,978,1344,1946,1350,1537,1449
32259,33988,-7348,9360,9360,-652,382,-489,-116,33,391,-45,3909,7,0,876,1038,1201,978,1344,1946,1350,1537,1449
33260,33972,-7340,9360,9360,-501,357,-489,-116,31,403,-55,3874,-3,-7,876,1038,1201,978,1344,1946,1350,1537,1449
34261,33984,-7344,9360,9360,-677,432,-488,-115,34,407,-66,3873,-8,-4,876,1037,1201,980,1345,1948,1352,1538,1451
35262,33984,-7364,9360,9360,-602,533,-488,-116,34,406,-40,3905,-8,6,876,1037,1201,980,1345,1948,1352,1538,1451
36263,33984,-7344,9360,9360,-602,282,-488,-115,34,401,-62,3862,3,-4,873,1037,1201,980,1345,1948,1352,1538,1451
37264,33984,-7356,9360,9360,-602,483,-487,-116,34,378,-65,3873,2,-4,875,1037,1201,980,1345,1948,1352,1538,1451
38265,33984,-7348,9360,9360,-602,357,-490,-117,34,413,-48,3911,-5,6,876,1037,1201,980,1345,1948,1352,1538,1451
39266,33980,-7336,9360,9360,-577,332,-489,-115,35,403,-48,3894,-6,3,877,1037,1201,980,1345,1948,1352,1538,1451
40267,33980,-7352,9360,9360,-602,508,-487,-116,34,404,-48,3935,7,-9,876,1037,1200,978,1343,1947,1350,1537,1450
41268,33972,-7348,9360,9360,-551,382,-487,-117,34,414,-44,3921,6,1,876,1037,1200,978,1343,1947,1350,1537,1450
42269,33972,-7348,9360,9360,-601,407,-491,-116,34,404,-61,3908,-8,6,876,1037,1200,978,1343,1947,1350,1537,1450
43270,33980,-7348,9360,9360,-652,407,-493,-115,36,417,-56,3908,0,-6,876,1037,1200,978,1343,1947,1350,1537,1450
44271,33972,-7344,9360,9360,-551,382,-491,-112,38,422,-83,3884,7,-5,877,1037,1200,978,1343,1947,1350,1537,1450
45272,33984,-7348,9360,9360,-677,432,-491,-111,36,391,-59,3892,2,5,876,1038,1201,978,1344,1946,1350,1537,1449
46273,33976,-7356,9360,9360,-551,458,-491,-115,35,396,-52,3923,-8,-4,876,1038,1201,978,1344,1946,1350,1537,1449
47274,33980,-7344,9360,9360,-627,332,-489,-115,36,409,-69,3911,1,-5,876,1038,1201,978,1344,1946,1350,1537,1449
48275,33976,-7336,9360,9360,-576,357,-487,-116,36,391,-47,3881,6,2,876,1038,1201,978,1344,1946,1350,1537,1449
49277,33980,-7340,9360,9360,-627,432,-488,-113,36,408,-20,3894,-6,1,876,1038,1201,978,1344,1946,1350,1537,1449
50277,33968,-7348,9360,9360,-526,457,-489,-112,37,418,-46,3913,-7,-8,876,1038,1201,978,1344,1946,1350,1537,1449
51278,33988,-7340,9360,9360,-727,357,-489,-113,35,387,-21,3893,-1,-2,876,1037,1200,978,1344,1947,1351,1537,1449
52279,33976,-7356,9360,9360,-526,508,-489,-112,35,388,-32,3876,5,5,876,1037,1200,978,1344,1947,1351,1537,1449
53280,33972,-7360,9360,9360,-576,433,-491,-114,37,422,-44,3860,-7,-9,874,1037,1200,978,1344,1947,1351,1537,1449
54281,33976,-7348,9360,9360,-626,332,-490,-114,37,398,-44,3899,2,-5,875,1037,1200,978,1344,1947,1351,1537,1449
55282,33984,-7340,9360,9360,-652,357,-491,-113,38,390,-46,3947,6,5,876,1037,1200,978,1344,1947,1351,1537,1449
56283,33980,-7356,9360,9360,-577,508,-489,-113,39,401,-39,3896,-4,-1,876,1038,1200,978,1344,1947,1351,1538,1450
57284,33976,-7352,9360,9360,-576,383,-490,-110,40,382,-55,3913,-5,-7,876,1038,1200,978,1344,1947,1351,1538,1450
58285,33980,-7352,9360,9360,-627,408,-489,-110,42,381,-49,3912,6,-4,876,1038,1200,978,1344,1947,1351,1538,1450
59286,33988,-7332,9360,9360,-652,282,-489,-111,40,409,-49,3908,8,6,876,1038,1200,978,1344,1947,1351,1538,1450
60287,33984,-7344,9360,9360,-577,482,-488,-111,39,422,-49,3920,-3,3,876,1038,1200,978,1344,1947,1351,1538,1450
61288,33980,-7348,9360,9360,-577,432,-488,-111,38,397,-32,3929,-5,-9,876,1038,1200,978,1344,1947,1351,1538,1450
62289,33980,-7352,9360,9360,-602,433,-488,-111,41,385,-33,3892,4,-1,876,1038,1201,978,1344,1947,1351,1537,1449
63290,33988,-7336,9360,9360,-652,307,-487,-111,37,406,-35,3924,2,5,876,1038,1201,978,1344,1947,1351,1537,1449
64291,33976,-7340,9360,9360,-526,432,-489,-110,35,409,-66,3912,-6,-4,876,1038,1201,978,1344,1947,1351,1537,1449
65292,33976,-7348,9360,9360,-601,457,-489,-110,39,411,-74,3891,6,-5,876,1038,1201,978,1344,1947,1351,1537,1449
66293,33984,-7356,9360,9360,-652,458,-489,-110,39,408,-33,3871,-4,2,876,1038,1201,978,1344,1947,1351,1537,1449
67294,33988,-7336,9360,9360,-627,282,-489,-112,40,428,-40,3904,0,2,876,1037,1200,979,1344,1947,1351,1537,1450
68295,33972,-7344,9360,9360,-501,457,-490,-110,39,408,-58,3915,7,-7,876,1037,1200,979,1344,1947,1351,1537,1450
69296,33980,-7344,9360,9360,-652,407,-489,-110,40,386,-41,3920,-8,3,876,1037,1200,979,1344,1947,1351,1537,1450
70297,33976,-7356,9360,9360,-576,483,-487,-111,39,381,-50,3904,6,-3,873,1037,1200,979,1344,1947,1351,1537,1450
71298,33980,-7332,9360,9360,-627,257,-486,-111,38,388,-65,3894,1,-4,875,1037,1200,979,1344,1947,1351,1537,1450
72299,33980,-7344,9360,9360,-602,482,-488,-112,39,398,-52,3920,-5,4,876,1037,1200,979,1344,1947,1351,1537,1450
73300,33984,-7344,9360,9360,-627,407,-491,-112,38,375,-47,3903,7,-5,876,1038,1201,978,1344,1947,1349,1535,1447
74301,33976,-7352,9360,9360,-551,458,-489,-112,38,389,-39,3880,-4,-9,876,1038,1201,978,1344,1947,1349,1535,1447
75302,33980,-7348,9360,9360,-627,382,-487,-112,37,394,-36,3913,-5,-3,876,1038,1201,978,1344,1947,1349,1535,1447
76303,33984,-7352,9360,9360,-627,433,-486,-109,35,391,-43,3871,4,5,876,1038,1201,978,1344,1947,1349,1535,1447
77304,33980,-7336,9360,9360,-577,307,-488,-110,35,391,-43,3867,-7,-9,876,1038,1201,978,1344,1947,1349,1535,1447
78305,33976,-7356,9360,9360,-576,533,-489,-111,36,387,-56,3860,-2,-3,876,1038,1200,978,1344,1946,1350,1537,1450
79306,33976,-7352,9360,9360,-601,383,-489,-112,39,387,-52,3888,6,3,876,1038,1200,978,1344,1946,1350,1537,1450
80307,33980,-7344,9360,9360,-627,357,-488,-111,38,377,-68,3878,-7,-8,876,1038,1200,978,1344,1946,1350,1537,1450
81308,33972,-7348,9360,9360,-551,432,-489,-112,36,411,-52,3854,2,2,876,1038,1200,978,1344,1946,1350,1537,1450
82309,33984,-7336,9360,9360,-677,332,-489,-113,36,410,-74,3876,3,3,876,1038,1200,978,1344,1946,1350,1537,1450
83310,33976,-7336,9360,9360,-551,407,-489,-113,36,394,-70,3885,-7,-9,876,1038,1200,978,1344,1946,1350,1537,1450
84311,33984,-7340,9360,9360,-652,432,-490,-113,36,392,-38,3879,1,-7,876,1038,1199,975,1341,1946,1352,1540,1452
85312,33980,-7352,9360,9360,-577,483,-489,-115,36,405,-26,3885,5,4,876,1038,1199,975,1341,1946,1352,1540,1452
86313,33984,-7340,9360,9360,-627,332,-489,-114,35,394,-42,3895,-4,-2,876,1038,1199,975,1341,1946,1352,1540,1452
87314,33980,-7336,9360,9360,-577,382,-489,-114,35,411,-42,3913,-2,-7,873,1038,1199,975,1341,1946,1352,1540,1452
88315,33980,-7344,9360,9360,-602,457,-490,-113,35,394,-45,3909,3,2,874,1038,1199,975,1341,1946,1352,1540,1452
89316,33980,-7344,9360,9360,-602,407,-490,-114,35,380,-18,3910,-6,-7,876,1038,1200,979,1344,1947,1350,1537,1450
90317,33976,-7352,9360,9360,-576,458,-488,-115,32,400,-33,3933,-7,4,876,1038,1200,979,1344,1947,1350,1537,1450
91318,33984,-7344,9360,9360,-652,357,-489,-114,34,409,-50,3890,7,-6,876,1038,1200,979,1344,1947,1350,1537,1450
92319,33972,-7344,9360,9360,-526,407,-489,-112,33,401,-76,3872,4,-5,876,1038,1200,979,1344,1947,1350,1537,1450
93320,33984,-7352,9360,9360,-677,458,-489,-112,34,379,-65,3870,-8,6,876,1038,1200,979,1344,1947,1350,1537,1450
94321,33980,-7348,9360,9360,-577,382,-489,-112,36,385,-53,3881,6,-6,876,1038,1200,979,1344,1947,1350,1537,1450
95322,33988,-7340,9360,9360,-652,357,-490,-114,37,404,-74,3886,6,0,876,1039,1202,979,1344,1948,1350,1537,1450
96323,33976,-7352,9360,9360,-526,483,-491,-111,35,418,-63,3895,-8,5,876,1039,1202,979,1344,1948,1350,1537,1450
97324,33976,-7340,9360,9360,-601,332,-491,-112,36,409,-57,3899,0,-8,876,1039,1202,979,1344,1948,1350,1537,1450
98325,33984,-7352,9360,9360,-652,483,-490,-113,35,420,-44,3883,7,2,876,1039,1202,979,1344,1948,1350,1537,1450
99326,33992,-7336,9360,9360,-652,307,-490,-115,35,435,-26,3884,-2,3,876,1039,1202,979,1344,1948,1350,1537,1450
100327,33976,-7328,9360,9360,-501,357,-490,-114,35,409,-48,3878,-6,-8,876,1037,1200,979,1344,1947,1351,1538,1450
101328,33980,-7344,9360,9360,-627,507,-490,-113,35,433,-29,3894,7,5,877,1037,1200,979,1344,1947,1351,1538,1450
102329,33976,-7340,0,0,-576,382,-487,-113,35,404,0,3896,-5,5,876,1037,1200,979,1344,1947,1351,1538,1450
103330,33988,-7352,468,468,-407,752,-487,-114,37,405,-50,3911,-1,-9,876,1037,1200,979,1344,1947,1351,1538,1450
104331,33972,-7340,936,936,-220,614,-491,-117,38,395,-57,3899,-1,4,873,1037,1200,979,1344,1947,1351,1538,1450
105332,33988,-7332,1404,1404,-409,650,-491,-114,36,396,-40,3915,-4,4,862,1037,1200,979,1344,1947,1351,1538,1450
106333,33976,-7320,1872,1872,-222,636,-486,-121,34,377,-39,3897,-8,4,868,1038,1201,978,1344,1947,1350,1537,1450
107334,33948,-7284,2340,2340,-110,496,-480,-127,36,359,-29,3960,4,5,865,1038,1201,978,1344,1947,1350,1537,1450
108335,33952,-7272,2808,2808,-299,658,-478,-132,43,391,-90,3885,2,11,867,1038,1201,978,1344,1947,1350,1537,1450
109336,33952,-7220,3276,3276,-262,418,-472,-143,48,341,39,3947,-5,-4,870,1038,1201,978,1344,1947,1350,1537,1450
110337,33948,-7192,3744,3744,-226,578,-466,-141,48,368,-24,4001,4,9,866,1038,1201,978,1344,1947,1350,1537,1450
111338,33932,-7168,4212,4212,-139,614,-463,-119,45,469,-118,3968,3,9,870,1038,1201,979,1344,1945,1349,1536,1450
112339,33932,-7132,4680,4680,-228,550,-452,-115,39,406,-79,3977,1,10,868,1038,1201,979,1344,1945,1349,1536,1450
113340,33916,-7096,5148,5148,-116,560,-443,-125,38,385,-120,3973,1,7,867,1038,1201,979,1344,1945,1349,1536,1450
114341,33908,-7056,5616,5616,-154,546,-436,-139,42,337,-100,3978,-8,4,869,1038,1201,979,1344,1945,1349,1536,1450
115342,33904,-7024,6084,6084,-168,607,-432,-153,42,287,-57,3938,2,0,869,1038,1201,979,1344,1945,1349,1536,1450
116343,33884,-6968,6552,6552,-56,467,-424,-157,39,377,-69,3979,-3,9,870,1038,1201,979,1344,1945,1349,1536,1450
117344,33856,-6932,7020,7020,6,602,-419,-174,37,333,-77,3823,0,4,868,1040,1204,980,1347,1942,1348,1536,1448
118345,33856,-6924,7488,7488,-157,788,-411,-198,39,209,-47,3954,-12,-2,871,1040,1204,980,1347,1942,1348,1536,1448
119346,33820,-6896,7956,7956,80,674,-417,-195,42,389,-122,3985,-7,9,869,1040,1204,980,1347,1942,1348,1536,1448
120347,33820,-6864,8424,8424,-134,660,-420,-187,40,457,-66,3969,-4,1,865,1040,1204,980,1347,1942,1348,1536,1448
121348,33792,-6828,8892,8892,54,645,-411,-182,36,324,-96,3972,4,-2,865,1040,1204,980,1347,1942,1348,1536,1448
122349,33776,-6784,9360,9360,-10,606,-404,-172,35,417,-87,4042,-11,11,864,1044,1209,981,1347,1943,1350,1540,1454
123350,33760,-6768,9828,9828,2,792,-399,-167,38,444,-64,4002,-3,10,868,1044,1209,981,1347,1943,1350,1540,1454
124351,33756,-6740,10296,10296,-61,727,-392,-170,40,324,-91,3972,-6,8,869,1044,1209,981,1347,1943,1350,1540,1454
125352,33740,-6712,10764,10764,26,738,-382,-166,40,312,-146,3954,6,-1,866,1044,1209,981,1347,1943,1350,1540,1454
126353,33736,-6680,11232,11232,-38,724,-366,-181,39,286,-100,3935,6,-1,866,1044,1209,981,1347,1943,1350,1540,1454
127354,33728,-6656,11700,11700,-1,785,-359,-198,40,258,-90,3982,7,7,867,1041,1205,980,1344,1944,1349,1538,1450
128355,33728,-6624,12168,12168,-40,745,-355,-203,39,272,-162,3961,-3,2,867,1041,1205,980,1344,1944,1349,1538,1450
129356,33732,-6608,12636,12636,-54,856,-349,-211,35,261,-110,3883,-6,10,866,1041,1205,980,1344,1944,1349,1538,1450
130357,33728,-6580,13104,13104,8,792,-346,-221,37,303,-189,3945,5,8,867,1041,1205,980,1344,1944,1349,1538,1450
131358,33744,-6540,13572,13572,-106,728,-346,-226,35,305,-163,3975,-5,0,864,1041,1205,980,1344,1944,1349,1538,1450
132359,33744,-6532,14040,14040,5,939,-351,-223,31,334,-104,3931,-6,7,865,1041,1205,980,1344,1944,1349,1538,1450
133360,33736,-6500,14508,14508,67,799,-360,-200,33,352,-30,3908,-8,4,866,1037,1202,980,1345,1948,1352,1538,1450
