time,Right Leg Pos,Left Leg Pos,Commanded Right Leg Pos,Commanded Left Leg Pos,DCR,DCL,GyroX,GyroY,GyroZ,AX,AY,AZ,RBEMF,LBEMF,VBatt,S1,S2,S3,S4,S5,S6,S7,S8
423,32328,-17600,0,0,-840,429,167,41,-32,361,-192,3894,-7,7,885,1152,1220,989,1150,1357,1243,1483,1718
1424,32332,-17600,0,0,-815,429,167,45,-34,353,-184,3903,-6,0,885,1152,1220,989,1150,1357,1243,1483,1718
2425,32328,-17604,0,0,-765,454,162,44,-32,348,-189,3929,3,-7,885,1152,1220,989,1150,1357,1243,1483,1718
3426,32340,-17604,0,0,-865,429,160,43,-31,339,-199,3900,5,2,886,1152,1220,989,1150,1357,1243,1483,1718
4427,32320,-17600,0,0,-665,404,163,42,-31,347,-177,3913,8,6,886,1152,1220,989,1150,1357,1243,1483,1718
5428,32324,-17596,0,0,-815,404,162,41,-30,331,-180,3914,7,3,885,1152,1219,989,1149,1357,1242,1481,1718
6429,32336,-17600,0,0,-865,454,161,43,-31,357,-202,3903,8,4,885,1152,1219,989,1149,1357,1242,1481,1718
7430,32328,-17608,0,0,-740,479,163,45,-33,385,-202,3924,1,-6,885,1152,1219,989,1149,1357,1242,1481,1718
8431,32328,-17592,0,0,-790,329,163,44,-31,374,-201,3947,-4,-4,885,1152,1219,989,1149,1357,1242,1481,1718
9432,32320,-17604,0,0,-740,504,163,43,-33,370,-203,3905,-2,-5,885,1152,1219,989,1149,1357,1242,1481,1718
10433,32320,-17604,0,0,-790,429,162,42,-34,365,-205,3900,-6,4,885,1152,1219,990,1149,1356,1242,1483,1716
11434,32320,-17600,0,0,-790,404,163,40,-34,361,-211,3898,-8,2,885,1152,1219,990,1149,1356,1242,1483,1716
12435,32320,-17596,0,0,-790,404,163,40,-32,364,-189,3898,-8,2,885,1152,1219,990,1149,1356,1242,1483,1716
13436,32328,-17600,0,0,-840,454,162,41,-33,358,-184,3911,-7,7,885,1152,1219,990,1149,1356,1242,1483,1716
14437,32320,-17604,0,0,-740,454,161,41,-33,373,-203,3897,-4,6,885,1152,1219,990,1149,1356,1242,1483,1716
15438,32328,-17600,0,0,-840,404,162,44,-35,378,-200,3908,-2,-1,885,1152,1219,990,1149,1356,1242,1483,1716
16439,32328,-17600,0,0,-790,429,162,47,-34,373,-199,3915,4,-5,885,1152,1219,989,1149,1357,1242,1482,1716
17440,32328,-17608,0,0,-790,479,162,46,-31,393,-190,3891,8,-6,885,1152,1219,989,1149,1357,1242,1482,1716
18441,32328,-17600,0,0,-790,379,162,44,-31,361,-190,3921,8,2,886,1152,1219,989,1149,1357,1242,1482,1716
19442,32332,-17596,0,0,-815,404,163,45,-32,365,-199,3970,2,-3,883,1152,1219,989,1149,1357,1242,1482,1716
20443,32328,-17608,0,0,-765,504,163,45,-33,371,-212,3923,-7,1,882,1152,1219,989,1149,1357,1242,1482,1716
21444,32324,-17604,0,0,-765,404,164,46,-32,333,-205,3931,-8,2,885,1151,1219,989,1149,1355,1239,1483,1718
22445,32332,-17600,0,0,-840,404,162,45,-32,355,-210,3909,-5,-6,885,1151,1219,989,1149,1355,1239,1483,1718
23446,32324,-17604,0,0,-740,454,161,44,-35,352,-169,3899,0,-7,885,1151,1219,989,1149,1355,1239,1483,1718
24447,32336,-17600,0,0,-865,404,162,45,-35,349,-177,3903,1,-6,885,1151,1219,989,1149,1355,1239,1483,1718
25448,32324,-17600,0,0,-715,429,163,46,-33,365,-175,3904,8,-6,885,1151,1219,989,1149,1355,1239,1483,1718
26449,32324,-17608,0,0,-790,479,164,47,-33,364,-217,3927,2,-6,885,1151,1219,989,1149,1355,1239,1483,1718
27450,32340,-17604,0,0,-890,404,164,47,-34,350,-186,3941,0,-5,886,1151,1219,990,1150,1357,1242,1483,1717
28451,32336,-17596,0,0,-765,379,165,46,-34,355,-194,3929,-6,-6,885,1151,1219,990,1150,1357,1242,1483,1717
29452,32328,-17608,0,0,-740,504,166,47,-31,363,-209,3918,-8,-3,885,1151,1219,990,1150,1357,1242,1483,1717
30453,32336,-17596,0,0,-840,354,164,47,-33,370,-208,3896,-7,-4,885,1151,1219,990,1150,1357,1242,1483,1717
31454,32324,-17604,0,0,-715,479,161,46,-33,373,-195,3904,-5,-6,885,1151,1219,990,1150,1357,1242,1483,1717
32455,32328,-17600,0,0,-815,404,161,45,-33,357,-201,3931,1,-6,885,1152,1219,989,1149,1357,1243,1483,1718
