time,Right Leg Pos,Left Leg Pos,Commanded Right Leg Pos,Commanded Left Leg Pos,DCR,DCL,GyroX,GyroY,GyroZ,AX,AY,AZ,RBEMF,LBEMF,VBatt,S1,S2,S3,S4,S5,S6,S7,S8
764,32176,-18272,0,0,-836,471,-64,-12,-74,368,-257,3901,-9,-5,845,1159,1225,999,1158,1371,1258,1490,1729
1765,32168,-18272,0,0,-736,446,-63,-11,-75,371,-238,3900,-8,6,844,1159,1225,999,1158,1371,1258,1490,1729
2766,32164,-18276,0,0,-761,471,-65,-14,-74,370,-242,3910,-9,-8,844,1159,1225,999,1158,1371,1258,1490,1729
3767,32160,-18272,0,0,-761,421,-65,-15,-77,381,-245,3946,-9,5,844,1159,1225,999,1158,1371,1258,1490,1729
4768,32152,-18272,0,0,-735,446,-66,-15,-74,375,-267,3926,-9,-1,845,1160,1224,998,1157,1372,1259,1490,1730
5769,32160,-18280,0,0,-836,496,-65,-14,-73,350,-251,3905,-9,-5,845,1160,1224,998,1157,1372,1259,1490,1730
6770,32172,-18272,0,0,-861,396,-65,-14,-73,358,-242,3939,-8,5,845,1160,1224,998,1157,1372,1259,1490,1730
7771,32164,-18280,0,0,-736,496,-64,-13,-74,333,-236,3933,-9,0,845,1160,1224,998,1157,1372,1259,1490,1730
8772,32156,-18268,0,0,-736,370,-64,-12,-75,362,-205,3938,-8,-8,845,1160,1224,998,1157,1372,1259,1490,1730
9773,32160,-18280,0,0,-811,521,-63,-12,-73,383,-209,3922,-8,4,845,1160,1224,998,1157,1372,1259,1490,1730
10774,32164,-18272,0,0,-811,396,-64,-12,-73,346,-234,3907,-6,-9,845,1159,1224,997,1157,1370,1258,1490,1729
11775,32176,-18280,0,0,-861,496,-65,-14,-76,324,-218,3953,0,5,845,1159,1224,997,1157,1370,1258,1490,1729
12776,32168,-18276,0,0,-736,421,-64,-15,-76,348,-221,3952,2,-7,845,1159,1224,997,1157,1370,1258,1490,1729
13777,32156,-18280,0,0,-711,471,-65,-15,-75,345,-233,3935,7,5,844,1159,1224,997,1157,1370,1258,1490,1729
14778,32160,-18276,0,0,-811,421,-65,-14,-73,333,-235,3949,6,-8,845,1159,1224,997,1157,1370,1258,1490,1729
15779,32164,-18276,0,0,-811,446,-64,-13,-74,349,-204,3942,7,5,845,1159,1225,998,1158,1371,1258,1490,1728
16780,32160,-18272,0,0,-761,421,-63,-14,-74,358,-220,3912,5,-8,845,1159,1225,998,1158,1371,1258,1490,1728
17781,32168,-18268,0,0,-836,420,-65,-14,-73,369,-209,3881,-1,4,845,1159,1225,998,1158,1371,1258,1490,1728
18782,32156,-18264,0,0,-711,420,-66,-14,-73,359,-234,3899,1,1,845,1159,1225,998,1158,1371,1258,1490,1728
19783,32168,-18272,0,0,-861,496,-66,-13,-74,359,-208,3952,-2,-1,839,1159,1225,998,1158,1371,1258,1490,1728
20784,32152,-18276,0,0,-685,471,-64,-12,-76,384,-222,3931,-7,3,838,1159,1225,998,1158,1371,1258,1490,1728
21785,32168,-18280,0,0,-886,471,-62,-15,-75,374,-234,3902,-8,-6,845,1159,1224,998,1157,1371,1259,1491,1729
22786,32172,-18264,0,0,-811,345,-62,-15,-76,377,-255,3924,-8,3,845,1159,1224,998,1157,1371,1259,1491,1729
23787,32156,-18284,0,0,-686,571,-66,-14,-76,347,-251,3949,-1,-6,845,1159,1224,998,1157,1371,1259,1491,1729
24788,32164,-18268,0,0,-836,345,-65,-12,-75,350,-246,3938,-1,-2,844,1159,1224,998,1157,1371,1259,1491,1729
25789,32164,-18260,0,0,-786,395,-63,-13,-77,370,-216,3933,3,5,845,1159,1224,998,1157,1371,1259,1491,1729
26790,32160,-18264,0,0,-761,470,-62,-18,-76,351,-201,3924,6,-8,845,1159,1223,997,1158,1370,1258,1490,1729
27791,32168,-18264,0,0,-836,445,-64,-16,-74,348,-232,3935,6,4,845,1159,1223,997,1158,1370,1258,1490,1729
28792,32164,-18268,0,0,-761,470,-66,-13,-74,351,-247,3941,7,2,845,1159,1223,997,1158,1370,1258,1490,1729
29793,32160,-18272,0,0,-761,471,-67,-14,-75,369,-243,3923,6,-8,845,1159,1223,997,1158,1370,1258,1490,1729
30794,32156,-18268,0,0,-761,420,-64,-14,-74,365,-268,3924,7,6,845,1159,1223,997,1158,1370,1258,1490,1729
31795,32156,-18268,0,0,-786,445,-63,-16,-73,350,-265,3916,6,2,844,1159,1223,997,1158,1370,1258,1490,1729
32796,32156,-18276,0,0,-786,496,-65,-17,-75,354,-242,3927,5,2,845,1159,1224,998,1158,1372,1259,1490,1728
33797,32156,-18268,0,0,-786,395,-65,-17,-75,342,-237,3943,7,-2,844,1159,1224,998,1158,1372,1259,1490,1728
34798,32168,-18276,0,0,-861,496,-66,-14,-73,344,-221,3917,6,0,844,1159,1224,998,1158,1372,1259,1490,1728
35799,32164,-18272,0,0,-761,421,-67,-13,-73,341,-226,3885,5,-6,845,1159,1224,998,1158,1372,1259,1490,1728
36800,32164,-18280,0,0,-786,496,-67,-14,-75,347,-262,3884,6,1,839,1159,1224,998,1158,1372,1259,1490,1728
37801,32156,-18284,0,0,-736,471,-67,-14,-74,334,-241,3861,1,2,839,1159,1223,993,1158,1372,1260,1492,1732
38802,32156,-18272,0,0,-786,371,-69,-16,-75,346,-217,3892,-4,-5,845,1159,1223,993,1158,1372,1260,1492,1732
39803,32164,-18284,0,0,-836,521,-68,-14,-76,362,-220,3933,-8,6,845,1159,1223,993,1158,1372,1260,1492,1732
40804,32168,-18280,0,0,-811,421,-68,-14,-76,351,-220,3916,-7,4,845,1159,1223,993,1158,1372,1260,1492,1732
41805,32160,-18272,0,0,-736,396,-68,-15,-76,343,-215,3904,2,0,845,1159,1223,993,1158,1372,1260,1492,1732
42806,32164,-18272,0,0,-811,446,-66,-14,-76,360,-207,3892,5,5,845,1159,1223,993,1158,1372,1260,1492,1732
43807,32168,-18276,0,0,-811,471,-65,-13,-76,375,-225,3931,6,-8,845,1159,1224,997,1157,1370,1259,1490,1730
44808,32168,-18280,0,0,-786,471,-65,-13,-75,361,-221,3935,-5,0,844,1159,1224,997,1157,1370,1259,1490,1730
45809,32152,-18264,0,0,-685,345,-66,-12,-72,370,-211,3949,-4,4,845,1159,1224,997,1157,1370,1259,1490,1730
46810,32176,-18272,0,0,-936,496,-67,-14,-73,353,-230,3936,-6,-8,844,1159,1224,997,1157,1370,1259,1490,1730
47811,32160,-18280,0,0,-686,496,-69,-16,-74,369,-231,3924,-7,5,845,1159,1224,997,1157,1370,1259,1490,1730
48812,32160,-18284,0,0,-786,471,-69,-13,-76,368,-234,3928,-5,-7,845,1159,1225,998,1158,1371,1259,1491,1729
49813,32160,-18276,0,0,-786,396,-66,-12,-78,352,-226,3934,-9,4,844,1159,1225,998,1158,1371,1259,1491,1729
50814,32160,-18272,0,0,-786,421,-64,-14,-74,383,-234,3944,-9,-6,845,1159,1225,998,1158,1371,1259,1491,1729
51815,32164,-18276,0,0,-811,471,-64,-14,-72,394,-239,3939,-7,2,844,1159,1225,998,1158,1371,1259,1491,1729
52816,32156,-18280,0,0,-736,471,-66,-13,-73,363,-242,3943,-8,-8,844,1159,1225,998,1158,1371,1259,1491,1729
53817,32168,-18264,0,0,-861,345,-67,-12,-75,362,-227,3907,-9,1,839,1159,1225,998,1158,1371,1259,1491,1729
54818,32156,-18264,0,0,-711,445,-67,-13,-74,365,-234,3887,-5,3,839,1159,1223,996,1157,1371,1255,1492,1732
55819,32164,-18264,0,0,-836,445,-68,-14,-72,353,-231,3888,2,-8,844,1159,1223,996,1157,1371,1255,1492,1732
56820,32176,-18268,0,0,-861,470,-66,-14,-71,360,-230,3923,7,-1,845,1159,1223,996,1157,1371,1255,1492,1732
57821,32172,-18276,0,0,-761,496,-65,-13,-72,358,-247,3931,6,-6,844,1159,1223,996,1157,1371,1255,1492,1732
58822,32160,-18268,0,0,-711,395,-67,-13,-73,373,-251,3944,6,-5,844,1159,1223,996,1157,1371,1255,1492,1732
59823,32160,-18268,0,0,-786,445,-67,-15,-74,374,-233,3919,5,-3,845,1159,1224,997,1157,1370,1258,1489,1729
60824,32164,-18280,0,0,-811,521,-68,-17,-76,361,-222,3907,6,6,844,1159,1224,997,1157,1370,1258,1489,1729
61825,32168,-18276,0,0,-811,421,-67,-16,-76,365,-218,3900,2,-8,844,1159,1224,997,1157,1370,1258,1489,1729
62826,32160,-18288,0,0,-736,521,-65,-14,-76,375,-216,3935,-5,5,844,1159,1224,997,1157,1370,1258,1489,1729
63827,32176,-18280,0,0,-886,396,-66,-13,-74,401,-230,3917,-6,0,845,1159,1224,997,1157,1370,1258,1489,1729
