time,Right Leg Pos,Left Leg Pos,Commanded Right Leg Pos,Commanded Left Leg Pos,DCR,DCL,GyroX,GyroY,GyroZ,AX,AY,AZ,RBEMF,LBEMF,VBatt,S1,S2,S3,S4,S5,S6,S7,S8
325,38956,-15680,11700,11700,-716,693,-103,-61,35,52,-127,3925,-6,-9,886,1134,1232,788,1196,1383,1374,2033,1798
1326,38944,-15680,11700,11700,-591,668,-101,-62,35,58,-116,3967,2,-6,886,1134,1232,789,1194,1383,1375,2036,1800
2327,38940,-15680,11700,11700,-641,668,-102,-63,32,88,-129,3938,5,2,885,1134,1232,789,1194,1383,1375,2036,1800
3328,38956,-15684,11700,11700,-766,693,-103,-65,35,86,-134,3867,6,1,886,1134,1232,789,1194,1383,1375,2036,1800
4329,38960,-15684,11700,11700,-691,668,-104,-63,36,88,-156,3900,7,-8,886,1134,1232,789,1194,1383,1375,2036,1800
5330,38960,-15672,11700,11700,-666,593,-103,-62,36,75,-120,3900,7,4,886,1134,1232,789,1194,1383,1375,2036,1800
6331,38952,-15676,11700,11700,-616,693,-103,-63,35,62,-125,3876,6,-9,886,1135,1233,789,1196,1383,1373,2033,1800
7332,38956,-15676,11700,11700,-691,668,-105,-64,33,80,-112,3906,6,2,886,1135,1233,789,1196,1383,1373,2033,1797
8333,38956,-15676,11700,11700,-666,668,-103,-64,34,73,-111,3898,6,5,886,1135,1233,789,1196,1383,1373,2033,1797
9334,38952,-15680,11700,11700,-641,693,-102,-64,36,81,-116,3908,6,1,886,1135,1233,789,1196,1383,1373,2033,1797
10335,38956,-15680,11700,11700,-691,668,-102,-66,37,92,-147,3909,6,-7,886,1135,1233,789,1196,1383,1373,2033,1797
11336,38952,-15676,11700,11700,-641,643,-101,-65,36,79,-119,3911,7,6,886,1135,1233,789,1196,1383,1373,2033,1797
12337,38960,-15680,11700,11700,-716,693,-103,-65,34,78,-140,3898,7,-9,886,1134,1233,789,1196,1383,1374,2034,1798
13338,38952,-15692,11700,11700,-616,743,-103,-65,34,85,-123,3900,5,4,886,1134,1233,789,1196,1383,1374,2034,1798
14339,38956,-15672,11700,11700,-691,543,-102,-63,35,82,-132,3902,7,5,886,1134,1233,789,1196,1383,1374,2034,1798
15340,38956,-15684,11700,11700,-666,743,-101,-64,36,69,-133,3933,3,-2,886,1134,1233,789,1196,1383,1374,2034,1798
16341,38948,-15684,11700,11700,-616,668,-98,-64,35,79,-125,3905,-1,-9,886,1134,1233,789,1196,1383,1374,2034,1798
17342,38948,-15680,11700,11700,-666,643,-99,-64,36,92,-96,3895,-7,-9,886,1135,1232,789,1195,1383,1375,2036,1800
18344,38956,-15672,11700,11700,-716,618,-101,-65,36,101,-110,3936,-8,-2,885,1135,1232,789,1195,1383,1375,2036,1800
19344,38956,-15680,11700,11700,-666,718,-100,-65,37,76,-122,3949,-6,5,884,1135,1232,789,1195,1383,1375,2036,1800
20345,38952,-15680,11700,11700,-641,668,-101,-67,35,73,-105,3935,3,-2,886,1135,1232,789,1195,1383,1375,2036,1800
21346,38944,-15676,11700,11700,-616,643,-102,-64,35,84,-120,3876,6,-8,885,1135,1232,789,1195,1383,1375,2036,1800
22349,38960,-15684,11700,11700,-766,718,-99,-63,35,71,-126,3887,6,3,885,1135,1232,789,1195,1383,1375,2036,1800
