time,Right Leg Pos,Left Leg Pos,Commanded Right Leg Pos,Commanded Left Leg Pos,DCR,DCL,GyroX,GyroY,GyroZ,AX,AY,AZ,RBEMF,LBEMF,VBatt,S1,S2,S3,S4,S5,S6,S7,S8
19,32536,-17136,11700,11700,-534,679,-102,-64,32,339,-310,3928,6,-9,827,1115,1243,772,1153,1307,1279,1943,1757
1019,32536,-17136,11700,11700,-509,704,-103,-65,33,351,-304,3904,-7,-8,827,1115,1243,772,1153,1307,1279,1943,1757
2020,32532,-17140,11700,11700,-484,729,-103,-63,35,343,-296,3922,7,-7,827,1115,1243,772,1153,1307,1279,1943,1757
3021,32532,-17128,11700,11700,-509,628,-106,-65,36,331,-293,3955,-9,-9,827,1115,1243,772,1153,1307,1279,1943,1757
4022,32544,-17132,11700,11700,-584,728,-106,-67,36,343,-299,3927,5,-7,827,1115,1243,772,1153,1307,1279,1943,1757
5023,32524,-17132,11700,11700,-384,703,-104,-66,33,326,-306,3897,-9,-2,827,1115,1245,772,1154,1308,1278,1943,1756
6024,32544,-17132,11700,11700,-634,703,-104,-66,30,348,-292,3906,6,-4,827,1115,1245,772,1154,1308,1278,1943,1756
7025,32536,-17140,11700,11700,-459,754,-102,-64,33,340,-312,3923,-8,-1,827,1115,1245,772,1154,1308,1278,1943,1756
8026,32524,-17136,11700,11700,-434,679,-102,-63,36,355,-299,3904,7,3,827,1115,1245,772,1154,1308,1278,1943,1756
9027,32544,-17132,11700,11700,-634,678,-102,-64,36,338,-298,3915,-9,1,827,1115,1245,772,1154,1308,1278,1943,1756
10030,32548,-17140,11700,11700,-534,754,-102,-63,33,332,-269,3913,6,5,827,1115,1245,772,1154,1308,1278,1943,1756
11029,32540,-17136,11700,11700,-459,679,-103,-61,32,326,-303,3917,-9,6,827,1116,1245,770,1152,1307,1280,1944,1757
12030,32536,-17132,11700,11700,-484,678,-105,-59,33,336,-280,3905,0,6,827,1116,1245,770,1152,1307,1280,1944,1757
13031,32532,-17132,11700,11700,-484,703,-102,-61,35,347,-289,3882,3,5,827,1116,1245,770,1152,1307,1280,1944,1757
14032,32524,-17132,11700,11700,-459,703,-103,-63,33,337,-315,3867,-3,0,827,1116,1245,770,1152,1307,1280,1944,1757
15033,32540,-17140,11700,11700,-609,754,-104,-64,32,334,-320,3909,6,1,827,1116,1245,770,1152,1307,1280,1944,1757
16034,32520,-17132,11700,11700,-384,653,-104,-63,36,328,-288,3900,-8,-5,827,1115,1244,771,1153,1307,1278,1944,1757
17035,32536,-17132,11700,11700,-609,703,-106,-63,37,326,-279,3853,3,-9,827,1115,1244,771,1153,1307,1278,1944,1757
18036,32524,-17128,11700,11700,-434,678,-104,-65,34,333,-298,3886,4,-8,827,1115,1244,771,1153,1307,1278,1944,1757
19037,32536,-17128,11700,11700,-584,703,-105,-65,35,332,-303,3903,-8,-7,826,1115,1244,771,1153,1307,1278,1944,1757
20038,32528,-17128,11700,11700,-459,703,-105,-68,36,353,-285,3899,4,3,825,1115,1244,771,1153,1307,1278,1944,1757
21039,32544,-17140,11700,11700,-609,779,-105,-65,36,359,-302,3905,-3,4,827,1115,1244,771,1153,1307,1278,1944,1757
22040,32536,-17136,11700,11700,-459,679,-104,-64,37,339,-316,3907,-9,6,827,1115,1244,772,1154,1308,1278,1943,1756
23041,32524,-17136,11700,11700,-434,704,-106,-64,35,341,-293,3876,7,1,827,1115,1244,772,1154,1308,1278,1943,1756
24042,32548,-17144,11700,11700,-659,754,-105,-64,35,351,-279,3879,0,-2,827,1115,1244,772,1154,1308,1278,1943,1756
25043,32532,-17124,11700,11700,-409,578,-104,-62,35,326,-293,3890,-9,-8,827,1115,1244,772,1154,1308,1278,1943,1756
26044,32536,-17128,11700,11700,-534,728,-106,-62,36,355,-307,3875,6,-7,827,1115,1244,772,1154,1308,1278,1943,1756
27045,32540,-17140,11700,11700,-534,779,-105,-63,34,360,-326,3895,-6,-4,827,1113,1243,772,1156,1310,1279,1944,1756
28046,32540,-17144,11700,11700,-509,729,-105,-64,35,354,-304,3902,-2,4,827,1113,1243,772,1156,1310,1279,1944,1756
29047,32544,-17124,11700,11700,-534,578,-106,-62,33,349,-306,3910,-4,4,827,1113,1243,772,1156,1310,1279,1944,1756
30048,32532,-17144,11700,11700,-434,829,-105,-62,35,342,-300,3905,-3,-1,827,1113,1243,772,1156,1310,1279,1944,1756
31049,32524,-17140,11700,11700,-459,679,-104,-65,37,348,-285,3896,6,-9,827,1113,1243,772,1156,1310,1279,1944,1756
32050,32536,-17140,11700,11700,-584,704,-104,-65,37,372,-274,3918,-9,-6,827,1113,1243,772,1156,1310,1279,1944,1756
33051,32540,-17136,11700,11700,-534,679,-103,-65,37,356,-303,3897,3,-3,827,1116,1244,772,1154,1308,1278,1943,1757
