time,Right Leg Pos,Left Leg Pos,Commanded Right Leg Pos,Commanded Left Leg Pos,DCR,DCL,GyroX,GyroY,GyroZ,AX,AY,AZ,RBEMF,LBEMF,VBatt,S1,S2,S3,S4,S5,S6,S7,S8
966,32764,-15944,4752,4752,-734,480,159,44,-32,359,-189,3940,-3,0,854,1124,1209,982,1139,1342,1226,1470,1699
1967,32756,-15948,4752,4752,-634,530,159,42,-32,379,-180,3937,3,-1,854,1124,1209,982,1139,1342,1226,1470,1699
2968,32748,-15932,4752,4752,-634,404,159,43,-34,379,-182,3890,5,3,854,1124,1209,982,1139,1342,1226,1470,1699
3969,32748,-15940,4752,4752,-684,555,159,46,-31,371,-185,3865,-8,-7,854,1124,1209,982,1139,1342,1226,1470,1699
4970,32748,-15940,4752,4752,-684,505,160,43,-30,368,-198,3908,7,7,854,1126,1210,982,1139,1342,1226,1471,1701
5971,32748,-15936,4752,4752,-684,480,160,43,-33,354,-181,3929,3,-5,854,1126,1210,982,1139,1342,1226,1471,1701
6972,32764,-15948,4752,4752,-784,580,159,41,-35,340,-178,3889,-7,-2,854,1126,1210,982,1139,1342,1226,1471,1701
7973,32752,-15948,4752,4752,-609,505,159,39,-34,354,-201,3890,7,6,854,1126,1210,982,1139,1342,1226,1471,1701
8974,32752,-15944,4752,4752,-684,480,159,42,-33,384,-172,3876,2,-6,854,1126,1210,982,1139,1342,1226,1471,1701
9975,32756,-15940,4752,4752,-709,480,160,43,-32,377,-181,3921,-4,5,854,1126,1210,982,1139,1342,1226,1471,1701
10976,32760,-15940,4752,4752,-709,505,161,41,-34,373,-191,3895,5,-3,854,1124,1210,981,1140,1345,1228,1472,1702
11977,32764,-15936,4752,4752,-709,480,161,42,-33,379,-206,3873,-8,3,854,1124,1210,981,1140,1345,1228,1472,1702
12978,32760,-15944,4752,4752,-659,555,160,42,-31,385,-161,3895,7,0,854,1124,1210,981,1140,1345,1228,1472,1702
13979,32764,-15948,4752,4752,-709,530,161,42,-30,382,-180,3914,-7,3,854,1124,1210,981,1140,1345,1228,1472,1702
14980,32752,-15924,4752,4752,-609,354,161,41,-30,402,-186,3887,0,-3,854,1124,1210,981,1140,1345,1228,1472,1702
15981,32752,-15936,4752,4752,-684,580,159,41,-30,391,-172,3892,0,0,854,1124,1209,982,1139,1342,1226,1469,1699
16982,32760,-15948,4752,4752,-734,580,159,41,-32,389,-186,3919,-4,-4,854,1124,1209,982,1139,1342,1226,1469,1699
17983,32756,-15936,4752,4752,-659,430,159,40,-30,366,-226,3895,7,6,854,1124,1209,982,1139,1342,1226,1469,1699
18984,32760,-15940,4752,4752,-709,530,157,41,-32,367,-230,3898,-7,2,854,1124,1209,982,1139,1342,1226,1469,1699
19985,32748,-15944,4752,4752,-609,530,157,43,-31,372,-219,3881,3,-3,851,1124,1209,982,1139,1342,1226,1469,1699
20986,32752,-15932,4752,4752,-709,429,159,43,-32,393,-190,3887,-2,1,851,1124,1209,982,1139,1342,1226,1469,1699
21987,32772,-15928,4752,4752,-810,479,159,43,-32,377,-178,3892,3,-7,854,1125,1209,982,1139,1341,1226,1470,1700
22988,32764,-15940,4752,4752,-634,580,160,42,-33,387,-201,3903,-2,7,854,1125,1209,982,1139,1341,1226,1470,1700
23989,32748,-15928,4752,4752,-584,429,159,41,-32,380,-182,3895,7,-6,854,1125,1209,982,1139,1341,1226,1470,1700
24990,32744,-15948,4752,4752,-659,630,159,40,-33,396,-210,3889,-8,-1,854,1125,1209,982,1139,1341,1226,1470,1700
25991,32760,-15944,4752,4752,-784,480,160,42,-34,395,-184,3912,8,-2,854,1125,1209,982,1139,1341,1226,1470,1700
26992,32760,-15936,4752,4752,-684,455,162,44,-31,383,-194,3903,-8,1,854,1124,1209,982,1139,1343,1226,1472,1701
27993,32760,-15940,4752,4752,-684,530,159,45,-33,355,-197,3904,8,7,854,1124,1209,982,1139,1343,1226,1472,1701
28994,32756,-15932,4752,4752,-659,454,159,45,-34,362,-184,3900,-7,-7,855,1124,1209,982,1139,1343,1226,1472,1701
29995,32748,-15932,4752,4752,-634,504,160,46,-36,372,-200,3876,8,7,854,1124,1209,982,1139,1343,1226,1472,1701
30996,32760,-15940,4752,4752,-759,555,162,47,-35,397,-217,3895,-8,-3,854,1124,1209,982,1139,1343,1226,1472,1701
31997,32756,-15940,4752,4752,-659,505,160,47,-34,377,-214,3881,7,5,854,1124,1209,982,1139,1343,1226,1472,1701
32998,32760,-15940,4752,4752,-709,505,159,46,-30,382,-222,3887,-8,-2,854,1125,1210,984,1140,1342,1226,1472,1701
33999,32748,-15940,4752,4752,-609,505,160,47,-31,372,-196,3878,8,-6,854,1125,1210,984,1140,1342,1226,1472,1701
35000,32752,-15932,4752,4752,-709,454,162,47,-32,361,-179,3913,-8,8,854,1125,1210,984,1140,1342,1226,1472,1701
36001,32748,-15936,4752,4752,-659,530,161,45,-32,378,-189,3905,7,-7,854,1125,1210,984,1140,1342,1226,1472,1701
37002,32752,-15928,4752,4752,-709,454,160,45,-32,364,-193,3906,-7,4,851,1125,1210,984,1140,1342,1226,1472,1701
38003,32764,-15940,4752,4752,-759,580,157,46,-32,362,-191,3902,8,-3,851,1125,1209,982,1139,1341,1223,1471,1702
39004,32748,-15936,4752,4752,-584,480,156,45,-31,363,-207,3919,-8,1,854,1125,1209,982,1139,1341,1223,1471,1702
40005,32768,-15936,4752,4752,-809,505,159,45,-31,353,-181,3905,5,6,854,1125,1209,982,1139,1341,1223,1471,1702
41006,32756,-15940,4752,4752,-609,530,160,45,-31,367,-197,3868,-7,-5,854,1125,1209,982,1139,1341,1223,1471,1702
